OYO ID,Hotel ID,OYO Product,Feedback ID,Booking ID,Source,Rating,L1,L2,Reviews/Comments,AC,TV,Wifi,Heater,Room,Washroom,Infra,Safety & Security,Check-in/Check-out,Staff & Service,Hygiene,Comfort,Direction,Location,Customer Support,Breakfast,Food,Payment,Pricing,Default,Classification
BBS188,18307,SMART,60726380,121213751,Android App,3,,,There was so much dust in those bedsheet and blanket cover. And kindly respond to the services in time. It was a nice stay at ur place. Thank you !,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Average
PAT318,62422,SMART,60917777,121641897,Crs,1,,,They did not provided sleepwear. There was no room service. [hone was not working. They did not provided toothiest. In room there was no mirror,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
BBS469,79294,SMART,61198690,121702948,bulk_upload,0,,,"It was really a good stay, I was there for a birthday plan, and surprisingly rooms are more spacious compare to images that shown, neat and clean",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Good
BBS377,57705,Homes,60443760,118687741,Crs,4,,,Service was good. But they are dealing was not good. Cleanliness was good. staff behavior was better. Room was small. They provided good kitchen.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Good
YAN001,83443,CapitalO,60553460,120172333,Crs,1,,,stay was worst....room was not good...washroom was not good...service was not good...water leakage in the washroom....telephone was not working....,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
VSK109,16482,CapitalO,60858986,121056258,Crs,5,,,Maintenance was bot good/Rooms were not as per the picture/There were no OYO tags at the hotel/Drinking water was not provided/No kettle in the room,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
VAD050,15095,SMART,60963272,122354498,Android App,1,,,"this is the responsibility of OYO. this time I had a very bad experience with OYO. 
 believe me, money I paid was not at all worth this time. 
 ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Discard
MYS176,46638,SMART,60440093,119372282,Crs,1,,,"It was not good. There was no food facility. Water heater was not working. Hotel was far away from the city. So, there was no nearby reasturant",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Bad
HYD625,39280,SMART,60789096,120825343,bulk_upload,0,,,Calm location. Hotel looks good from outside. Linen needs improvement. Toiletrie kits missing. Room is good but services definitely need improvement,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Average
MYS207,53638,SMART,61025111,120553110,Android App,1,,,The worst xperience.. I had booked dis resort Nd thr iz no resort in dis name ovr thr...... In mid nit I again had to book other hotel Nd stayed.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Discard
