OYO ID,Hotel ID,OYO Product,Feedback ID,Booking ID,Source,Rating,L1,L2,Reviews/Comments,AC,TV,Wifi,Heater,Room,Washroom,Infra,Safety & Security,Check-in/Check-out,Staff & Service,Hygiene,Comfort,Direction,Location,Customer Support,Breakfast,Food,Payment,Pricing,Default,Classification
JBP041,36797,SMART,60911375,120546422,bulk_upload,0,,,Everything is good with this Hotel. I always stay here whenever I go to Jabalpur. Only issue is their Wi-Fi does not work properly.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Good
DEL1091,42042,Townhouse,60504295,120028917,IOS App,5,,,"Receptionist named ms Kanchan and ms ruksar, staffs Lalit, Ajay and Pappu were really nice in behaviour. Highly appreciated demeanour.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Good
KOC293,37365,Homes,61014776,120880239,Android App,1,,,"Actually, I met a problem with the stay and still the problem not resolved by the OYO boy. It's very urgent please resolve my problem",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
NLR021,46750,SMART,61132521,120351640,Android App,3,,,Water from geyser is smelly. It's not used from many days and water is not removed from it. Bucket and mug are dirty. Rest all good.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
BSP041,82138,SPOT ON,61012929,122343035,Crs,2,,,Stay was not good. TV was not working. Power back up was not there. Fan was not working. Washroom was not clean. Disturbance was there.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
KOL744,39376,SMART,61086989,122424821,Crs,2,,,APPOINTMENT IN ANOTHER HOTEL/BUT GET ANOTHER HOTEL. PRICES CHANGE AND CHARGED EXTRA. ROOM ARE NOT GOODE. WATER SUPPLY IS NOT GOOD.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Bad
BLI028,58178,SMART,60492627,118495015,bulk_upload,0,,,It was a great experience in this hotel and the staff behavior was very good all I say that loves it but have issue with breakfast ðÿ¤’,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Good
CDD003,80135,SMART,61018346,122436333,Crs,4,,,Guest wanted to extend the booking but was unable to because the hotel was already booked for a marriage ceremony/Everything was good,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Good
AUR138,85476,SMART,60477747,120202857,Android App,5,,,"Have nice stay in hotel Ganesh executive, good room service, Wi-Fi 24 hr available, breakfast very nice, staff is very good behavior,",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Good
AUR138,85476,SMART,60299963,119194040,Android App,5,,,"Have nice stay in hotel Ganesh Executive good room service, Wi-Fi 24 hr available, breakfast very nice, staff is very good behavior,",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Good
KAN066,45926,SMART,60264384,119220904,Android App,1,,,i have over charged for this room.mthe owner of the hotel took extra money for the same room that i had booked on less amount on OYO..,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Bad
HYD616,38712,CapitalO,60190115,118648365,Android App,3,,,Default complementary breakfast not arranged and not informed by the hotel before going to breakfast and finally charged to pay it.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Bad
HYD616,38712,CapitalO,60781030,121006203,Android App,4,,,"room service was very bad. we had to wait almost one hour and follow up 4-5 times for change of sheets, same for cleaning of room.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bad
